epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,774.491,0.05981,0.25167,0.86332,0.88205,0.83194,0.91508,0.90797,0.20773,0.62092,0.60537,0.0002872,0.0002872,0.0002872
74,784.582,0.06636,0.25476,0.87812,0.88521,0.8645,0.91644,0.90627,0.20711,0.6181,0.6048,0.0002773,0.0002773,0.0002773
75,794.458,0.05998,0.25798,0.8753,0.92999,0.84527,0.93259,0.9194,0.21033,0.59648,0.61455,0.0002674,0.0002674,0.0002674
76,804.48,0.06335,0.26966,0.87082,0.86818,0.90629,0.95668,0.94297,0.20451,0.47012,0.61377,0.0002575,0.0002575,0.0002575
77,814.468,0.0655,0.28443,0.87755,0.81594,0.82316,0.93799,0.91992,0.25609,0.59836,0.66638,0.0002476,0.0002476,0.0002476
78,824.264,0.06418,0.24768,0.88103,0.94443,0.82777,0.94855,0.93748,0.19651,0.54101,0.59358,0.0002377,0.0002377,0.0002377
79,834.101,0.06237,0.2507,0.87671,0.92056,0.79474,0.94716,0.93848,0.1632,0.55241,0.57909,0.0002278,0.0002278,0.0002278
80,844.498,0.0559,0.2387,0.87936,0.91987,0.88208,0.9599,0.95546,0.14832,0.43959,0.56339,0.0002179,0.0002179,0.0002179
81,855.072,0.05694,0.24676,0.87918,0.90117,0.85936,0.96125,0.95389,0.16481,0.46106,0.56677,0.000208,0.000208,0.000208
82,865.53,0.05953,0.22605,0.87522,0.92421,0.84578,0.93795,0.9256,0.16443,0.48948,0.56377,0.0001981,0.0001981,0.0001981
83,876.663,0.05745,0.22827,0.87585,0.82514,0.81751,0.91193,0.89985,0.19176,0.59009,0.60074,0.0001882,0.0001882,0.0001882
84,888.657,0.05303,0.22227,0.87286,0.85628,0.82175,0.91893,0.91087,0.20812,0.57062,0.5988,0.0001783,0.0001783,0.0001783
85,900.032,0.05571,0.24688,0.88068,0.83273,0.87407,0.93372,0.92916,0.14663,0.57597,0.53798,0.0001684,0.0001684,0.0001684
86,910.464,0.05573,0.2189,0.87269,0.82441,0.87551,0.93781,0.9323,0.15691,0.54045,0.55242,0.0001585,0.0001585,0.0001585
87,921.577,0.05021,0.19773,0.86962,0.88228,0.8655,0.94841,0.94626,0.16789,0.47985,0.56736,0.0001486,0.0001486,0.0001486
88,932.184,0.05336,0.2258,0.87157,0.91873,0.84656,0.94862,0.92366,0.16209,0.50083,0.55902,0.0001387,0.0001387,0.0001387
89,942.332,0.05459,0.22489,0.87668,0.87069,0.85087,0.93333,0.92773,0.15024,0.51356,0.55618,0.0001288,0.0001288,0.0001288
90,953.612,0.0499,0.21174,0.86643,0.87932,0.8928,0.95834,0.9526,0.1461,0.41486,0.55086,0.0001189,0.0001189,0.0001189
91,989.22,0.11269,0.48723,0.93142,0.95025,0.81992,0.94158,0.92983,0.15243,0.47313,0.54813,0.000109,0.000109,0.000109
92,999.356,0.05826,0.19222,0.87469,0.89809,0.86613,0.92942,0.92006,0.1511,0.4894,0.53938,9.91e-05,9.91e-05,9.91e-05
93,1009.3,0.05534,0.13107,0.86387,0.82739,0.88129,0.92817,0.9244,0.14478,0.52526,0.53217,8.92e-05,8.92e-05,8.92e-05
94,1020.05,0.05024,0.11743,0.85913,0.93326,0.8144,0.925,0.92183,0.14329,0.53008,0.53689,7.93e-05,7.93e-05,7.93e-05
95,1029.94,0.05131,0.12181,0.87513,0.91468,0.84279,0.93378,0.93068,0.14515,0.48388,0.54166,6.94e-05,6.94e-05,6.94e-05
96,1039.73,0.04903,0.12134,0.86229,0.93461,0.83723,0.93131,0.92834,0.13896,0.48879,0.53528,5.95e-05,5.95e-05,5.95e-05
97,1049.48,0.04575,0.13045,0.85305,0.94065,0.82769,0.92886,0.92617,0.13846,0.51654,0.53663,4.96e-05,4.96e-05,4.96e-05
98,1059.28,0.04306,0.11428,0.85563,0.93648,0.8323,0.94738,0.94415,0.13196,0.49719,0.53385,3.97e-05,3.97e-05,3.97e-05
99,1069.2,0.04247,0.10804,0.84436,0.9401,0.83981,0.94987,0.94634,0.13185,0.48795,0.5339,2.98e-05,2.98e-05,2.98e-05
100,1079.22,0.04459,0.10177,0.86275,0.89238,0.86493,0.94843,0.94476,0.13146,0.49042,0.53083,1.99e-05,1.99e-05,1.99e-05
